code_insee,nom_standard,dep_code,population,superficie_km2,densite,latitude_mairie,longitude_mairie
02061,Becquigny,02,258,5,55.0,50.016,3.469
02062,Belleau,02,134,7,20.0,49.086,3.291
02063,Bellenglise,02,380,6,59.0,49.922,3.243
02064,Belleu,02,3693,5,801.0,49.359,3.335
02065,Bellicourt,02,574,10,58.0,49.961,3.232
02066,Benay,02,191,7,28.0,49.76,3.304
02067,Bergues-sur-Sambre,02,208,4,46.0,50.034,3.704
02068,Berlancourt,02,83,5,16.0,49.779,3.758
02069,Berlise,02,105,7,16.0,49.663,4.107
02070,Bernot,02,438,17,26.0,49.869,3.499
02071,Berny-Rivière,02,641,8,81.0,49.41,3.14
02072,Berrieux,02,180,5,36.0,49.488,3.849
